timestamp_ms,window_deauths,total_deauths,threshold_alert,zscore,zscore_alert
6098,0,0,0,0.00,0
11098,0,0,0,0.00,0
16098,0,0,0,0.00,0
21098,0,0,0,0.00,0
26098,0,0,0,0.00,0
31098,0,0,0,0.00,0
36098,0,0,0,0.00,0
41098,0,0,0,0.00,0
46098,0,0,0,0.00,0
51098,0,0,0,0.00,0
56098,0,0,0,0.00,0
61098,0,0,0,0.00,0
66098,0,0,0,0.00,0
71098,0,0,0,0.00,0
76098,3,3,0,0.00,0
81098,0,3,0,-0.30,0
86098,0,3,0,-0.30,0
91098,0,3,0,-0.30,0
96098,0,3,0,-0.30,0
101098,0,3,0,-0.30,0
106098,0,3,0,-0.30,0
111098,0,3,0,-0.30,0
116098,0,3,0,-0.30,0
121098,0,3,0,-0.30,0
126098,0,3,0,-0.30,0
131098,0,3,0,-0.30,0
136098,0,3,0,-0.30,0
141098,0,3,0,0.00,0
146098,21,24,1,0.00,0
151098,0,24,0,0.00,0
156098,0,24,0,0.00,0
161098,0,24,0,0.00,0
166098,0,24,0,0.00,0
171098,0,24,0,0.00,0
176098,0,24,0,0.00,0
181098,0,24,0,0.00,0
186098,0,24,0,0.00,0
191098,0,24,0,0.00,0
196098,0,24,0,0.00,0
201098,0,24,0,0.00,0
206098,0,24,0,0.00,0
211098,0,24,0,0.00,0
216098,0,24,0,0.00,0
221098,0,24,0,0.00,0
226098,0,24,0,0.00,0
231098,0,24,0,0.00,0
236098,268,292,1,0.00,0
241098,173,465,1,0.00,0
246098,186,651,1,0.00,0
251098,34,685,1,0.00,0
256098,0,685,0,0.00,0
261098,0,685,0,0.00,0
266098,15,700,1,0.00,0
271098,0,700,0,0.00,0
276098,0,700,0,0.00,0
281098,0,700,0,0.00,0
286098,0,700,0,0.00,0
291098,0,700,0,0.00,0
296098,0,700,0,0.00,0
301098,0,700,0,0.00,0
306098,0,700,0,0.00,0
311098,0,700,0,0.00,0
316098,0,700,0,0.00,0
321098,0,700,0,0.00,0
326098,0,700,0,0.00,0
331098,0,700,0,0.00,0
336098,0,700,0,0.00,0
341098,0,700,0,0.00,0
346098,0,700,0,0.00,0
351098,0,700,0,0.00,0
356098,0,700,0,0.00,0
361098,0,700,0,0.00,0
366098,0,700,0,0.00,0
371098,0,700,0,0.00,0
376098,0,700,0,0.00,0
381098,0,700,0,0.00,0
386098,0,700,0,0.00,0
391098,0,700,0,0.00,0
396098,0,700,0,0.00,0
401098,0,700,0,0.00,0
406098,0,700,0,0.00,0
411098,0,700,0,0.00,0
416098,0,700,0,0.00,0
421098,0,700,0,0.00,0
426098,0,700,0,0.00,0
431098,0,700,0,0.00,0
436098,0,700,0,0.00,0
441098,0,700,0,0.00,0
446098,0,700,0,0.00,0
451098,0,700,0,0.00,0
456098,0,700,0,0.00,0
461098,0,700,0,0.00,0
466098,0,700,0,0.00,0
471098,0,700,0,0.00,0
476098,0,700,0,0.00,0
481098,0,700,0,0.00,0
486098,0,700,0,0.00,0
491098,0,700,0,0.00,0
496098,0,700,0,0.00,0
501098,0,700,0,0.00,0
506098,0,700,0,0.00,0
511098,0,700,0,0.00,0
516098,0,700,0,0.00,0
521098,0,700,0,0.00,0
526098,0,700,0,0.00,0
531098,0,700,0,0.00,0
536098,0,700,0,0.00,0
541098,0,700,0,0.00,0
546098,0,700,0,0.00,0
551098,0,700,0,0.00,0
556098,0,700,0,0.00,0
561098,0,700,0,0.00,0
566098,0,700,0,0.00,0
571098,0,700,0,0.00,0
576098,0,700,0,0.00,0
581098,0,700,0,0.00,0
586098,0,700,0,0.00,0
591098,0,700,0,0.00,0
596098,0,700,0,0.00,0
601098,0,700,0,0.00,0
606098,0,700,0,0.00,0
611098,0,700,0,0.00,0
616098,0,700,0,0.00,0
621098,0,700,0,0.00,0
626098,0,700,0,0.00,0
631098,0,700,0,0.00,0
636098,0,700,0,0.00,0
641098,0,700,0,0.00,0
646098,0,700,0,0.00,0
651098,0,700,0,0.00,0
656098,0,700,0,0.00,0
661098,0,700,0,0.00,0
666098,0,700,0,0.00,0
671098,0,700,0,0.00,0
676098,0,700,0,0.00,0
681098,0,700,0,0.00,0
686098,0,700,0,0.00,0
691098,0,700,0,0.00,0
696098,0,700,0,0.00,0
701098,0,700,0,0.00,0
706098,98,798,1,0.00,0
711098,3,801,0,0.00,0
716098,0,801,0,-0.30,0
721098,0,801,0,-0.30,0
726098,0,801,0,-0.30,0
731098,0,801,0,-0.30,0
736098,0,801,0,-0.30,0
741098,0,801,0,-0.30,0
746098,0,801,0,-0.30,0
751098,0,801,0,-0.30,0
756098,0,801,0,-0.30,0
761098,0,801,0,-0.30,0
766098,0,801,0,-0.30,0
771098,0,801,0,-0.30,0
776098,0,801,0,0.00,0
781098,0,801,0,0.00,0
786098,26,827,1,0.00,0
791098,88,915,1,0.00,0
796098,94,1009,1,0.00,0
801098,55,1064,1,0.00,0
806098,0,1064,0,0.00,0
811098,0,1064,0,0.00,0
816098,0,1064,0,0.00,0
821098,0,1064,0,0.00,0
826098,0,1064,0,0.00,0
831098,0,1064,0,0.00,0
836098,0,1064,0,0.00,0
841098,0,1064,0,0.00,0
846098,0,1064,0,0.00,0
851098,0,1064,0,0.00,0
856098,0,1064,0,0.00,0
861098,0,1064,0,0.00,0
866098,0,1064,0,0.00,0
871098,0,1064,0,0.00,0
876098,0,1064,0,0.00,0
881098,0,1064,0,0.00,0
886098,0,1064,0,0.00,0
891098,0,1064,0,0.00,0
896098,0,1064,0,0.00,0
901098,0,1064,0,0.00,0
906098,0,1064,0,0.00,0
911098,0,1064,0,0.00,0
916098,0,1064,0,0.00,0
921098,0,1064,0,0.00,0
926098,0,1064,0,0.00,0
931098,0,1064,0,0.00,0
936098,0,1064,0,0.00,0
941098,0,1064,0,0.00,0
946098,0,1064,0,0.00,0
951098,0,1064,0,0.00,0
956098,0,1064,0,0.00,0
961098,0,1064,0,0.00,0
966098,0,1064,0,0.00,0
971098,0,1064,0,0.00,0
976098,0,1064,0,0.00,0
981098,0,1064,0,0.00,0
986098,0,1064,0,0.00,0
991098,0,1064,0,0.00,0
996098,0,1064,0,0.00,0
