timestamp_ms,window_deauths,total_deauths,threshold_alert,zscore,zscore_alert
6098,0,0,0,0.00,0
11098,0,0,0,0.00,0
16098,1274,1274,1,0.00,0
21098,1403,2677,1,1.63,0
26098,1413,4090,1,1.11,0
31098,1424,5514,1,0.90,0
36098,1429,6943,1,0.78,0
41098,1428,8371,1,0.69,0
46098,1431,9803,1,0.63,0
51098,849,10652,1,-0.41,0
56098,118,10770,1,-1.70,0
61098,91,10861,1,-1.48,0
66098,88,10949,1,-1.31,0
71098,96,11045,1,-1.33,0
76098,98,11143,1,-1.37,0
81098,107,11250,1,-1.13,0
86098,107,11357,1,-0.96,0
91098,89,11446,1,-0.84,0
96098,125,11571,1,-0.64,0
101098,81,11652,1,-0.60,0
106098,84,11736,1,-0.47,0
111098,116,11852,1,-0.22,0
116098,97,11949,1,-0.22,0
121098,88,12037,1,-0.81,0
126098,85,12122,1,-1.01,0
131098,92,12214,1,-0.44,0
136098,98,12312,1,0.04,0
141098,80,12392,1,-1.32,0
146098,98,12490,1,0.21,0
151098,89,12579,1,-0.41,0
156098,89,12668,1,-0.41,0
161098,79,12747,1,-1.31,0
166098,103,12850,1,1.21,0
171098,95,12945,1,0.22,0
176098,116,13061,1,3.49,1
181098,92,13153,1,-0.07,0
186098,91,13244,1,-0.20,0
191098,90,13334,1,-0.37,0
196098,89,13423,1,-0.45,0
201098,91,13514,1,-0.17,0
206098,89,13603,1,-0.51,0
211098,91,13694,1,-0.20,0
216098,92,13786,1,-0.11,0
221098,86,13872,1,-0.84,0
226098,97,13969,1,0.42,0
231098,93,14062,1,-0.03,0
236098,83,14145,1,-1.37,0
241098,88,14233,1,-0.70,0
246098,111,14344,1,6.24,1
251098,86,14430,1,-0.84,0
256098,97,14527,1,0.82,0
261098,96,14623,1,0.57,0
266098,99,14722,1,0.93,0
271098,90,14812,1,-0.45,0
276098,94,14906,1,0.11,0
281098,89,14995,1,-0.60,0
286098,94,15089,1,0.06,0
291098,90,15179,1,-0.48,0
296098,76,15255,1,-2.43,0
301098,96,15351,1,0.43,0
306098,101,15452,1,0.98,0
311098,89,15541,1,-0.52,0
316098,98,15639,1,0.86,0
321098,77,15716,1,-2.47,0
326098,52,15768,1,-5.17,0
331098,0,15768,0,-6.81,0
336098,0,15768,0,-2.93,0
341098,0,15768,0,-2.08,0
346098,0,15768,0,-1.64,0
351098,0,15768,0,-1.35,0
356098,0,15768,0,-1.14,0
361098,0,15768,0,-0.96,0
366098,0,15768,0,-0.81,0
371098,0,15768,0,-0.68,0
376098,0,15768,0,-0.55,0
381098,0,15768,0,-0.44,0
386098,0,15768,0,-0.30,0
391098,0,15768,0,0.00,0
396098,0,15768,0,0.00,0
401098,0,15768,0,0.00,0
406098,0,15768,0,0.00,0
411098,0,15768,0,0.00,0
416098,3,15771,0,0.00,0
421098,0,15771,0,-0.30,0
426098,0,15771,0,-0.30,0
431098,0,15771,0,-0.30,0
436098,0,15771,0,-0.30,0
441098,0,15771,0,-0.30,0
446098,0,15771,0,-0.30,0
451098,0,15771,0,-0.30,0
456098,0,15771,0,-0.30,0
461098,0,15771,0,-0.30,0
466098,0,15771,0,-0.30,0
471098,0,15771,0,-0.30,0
476098,0,15771,0,-0.30,0
481098,0,15771,0,0.00,0
486098,0,15771,0,0.00,0
491098,0,15771,0,0.00,0
496098,0,15771,0,0.00,0
501098,0,15771,0,0.00,0
506098,0,15771,0,0.00,0
511098,0,15771,0,0.00,0
516098,0,15771,0,0.00,0
521098,0,15771,0,0.00,0
526098,0,15771,0,0.00,0
531098,0,15771,0,0.00,0
536098,0,15771,0,0.00,0
541098,0,15771,0,0.00,0
546098,0,15771,0,0.00,0
551098,0,15771,0,0.00,0
556098,0,15771,0,0.00,0
561098,0,15771,0,0.00,0
566098,0,15771,0,0.00,0
571098,0,15771,0,0.00,0
576098,0,15771,0,0.00,0
581098,0,15771,0,0.00,0
586098,0,15771,0,0.00,0
591098,0,15771,0,0.00,0
596098,0,15771,0,0.00,0
601098,0,15771,0,0.00,0
606098,0,15771,0,0.00,0
611098,0,15771,0,0.00,0
616098,0,15771,0,0.00,0
621098,0,15771,0,0.00,0
626098,0,15771,0,0.00,0
631098,0,15771,0,0.00,0
636098,0,15771,0,0.00,0
641098,0,15771,0,0.00,0
646098,0,15771,0,0.00,0
651098,0,15771,0,0.00,0
656098,0,15771,0,0.00,0
661098,0,15771,0,0.00,0
666098,0,15771,0,0.00,0
671098,0,15771,0,0.00,0
676098,0,15771,0,0.00,0
681098,0,15771,0,0.00,0
686098,0,15771,0,0.00,0
691098,0,15771,0,0.00,0
696098,0,15771,0,0.00,0
701098,0,15771,0,0.00,0
706098,0,15771,0,0.00,0
711098,0,15771,0,0.00,0
716098,0,15771,0,0.00,0
721098,0,15771,0,0.00,0
726098,0,15771,0,0.00,0
731098,0,15771,0,0.00,0
736098,0,15771,0,0.00,0
741098,0,15771,0,0.00,0
746098,0,15771,0,0.00,0
751098,0,15771,0,0.00,0
756098,0,15771,0,0.00,0
761098,0,15771,0,0.00,0
766098,0,15771,0,0.00,0
771098,0,15771,0,0.00,0
776098,0,15771,0,0.00,0
781098,0,15771,0,0.00,0
786098,0,15771,0,0.00,0
791098,0,15771,0,0.00,0
796098,0,15771,0,0.00,0
801098,0,15771,0,0.00,0
806098,0,15771,0,0.00,0
811098,0,15771,0,0.00,0
816098,0,15771,0,0.00,0
821098,0,15771,0,0.00,0
826098,0,15771,0,0.00,0
831098,0,15771,0,0.00,0
836098,0,15771,0,0.00,0
841098,0,15771,0,0.00,0
846098,0,15771,0,0.00,0
851098,0,15771,0,0.00,0
856098,0,15771,0,0.00,0
861098,0,15771,0,0.00,0
866098,0,15771,0,0.00,0
871098,0,15771,0,0.00,0
876098,0,15771,0,0.00,0
881098,0,15771,0,0.00,0
886098,0,15771,0,0.00,0
891098,0,15771,0,0.00,0
896098,0,15771,0,0.00,0
901098,0,15771,0,0.00,0
906098,0,15771,0,0.00,0
911098,0,15771,0,0.00,0
