timestamp_ms,window_deauths,total_deauths,threshold_alert,zscore,zscore_alert
8366098,0,14706,0,0.00,0
8371098,0,14706,0,0.00,0
8376098,0,14706,0,0.00,0
8381098,0,14706,0,0.00,0
8386098,0,14706,0,0.00,0
8391098,0,14706,0,0.00,0
8396098,0,14706,0,0.00,0
8401098,0,14706,0,0.00,0
8406098,0,14706,0,0.00,0
8411098,0,14706,0,0.00,0
8416098,0,14706,0,0.00,0
8421098,0,14706,0,0.00,0
8426098,0,14706,0,0.00,0
8431098,0,14706,0,0.00,0
8436098,0,14706,0,0.00,0
8441098,0,14706,0,0.00,0
8446098,0,14706,0,0.00,0
8451098,0,14706,0,0.00,0
8456098,0,14706,0,0.00,0
8461098,0,14706,0,0.00,0
8466098,0,14706,0,0.00,0
8471098,0,14706,0,0.00,0
8476098,0,14706,0,0.00,0
8481098,0,14706,0,0.00,0
8486098,0,14706,0,0.00,0
8491098,0,14706,0,0.00,0
8496098,0,14706,0,0.00,0
8501098,0,14706,0,0.00,0
8506098,0,14706,0,0.00,0
8511098,0,14706,0,0.00,0
8516098,0,14706,0,0.00,0
8521098,0,14706,0,0.00,0
8526098,0,14706,0,0.00,0
8531098,0,14706,0,0.00,0
8536098,0,14706,0,0.00,0
8541098,0,14706,0,0.00,0
8546098,0,14706,0,0.00,0
8551098,0,14706,0,0.00,0
8556098,0,14706,0,0.00,0
8561098,0,14706,0,0.00,0
8566098,0,14706,0,0.00,0
8571098,0,14706,0,0.00,0
8576098,0,14706,0,0.00,0
8581098,0,14706,0,0.00,0
8586098,0,14706,0,0.00,0
8591098,0,14706,0,0.00,0
8596098,0,14706,0,0.00,0
8601098,0,14706,0,0.00,0
8606098,0,14706,0,0.00,0
8611098,0,14706,0,0.00,0
8616098,0,14706,0,0.00,0
8621098,0,14706,0,0.00,0
8626098,0,14706,0,0.00,0
8631098,0,14706,0,0.00,0
8636098,0,14706,0,0.00,0
8641098,0,14706,0,0.00,0
8646098,0,14706,0,0.00,0
8651098,0,14706,0,0.00,0
8656098,0,14706,0,0.00,0
8661098,0,14706,0,0.00,0
8666098,0,14706,0,0.00,0
8671098,0,14706,0,0.00,0
8676098,0,14706,0,0.00,0
8681098,0,14706,0,0.00,0
8686098,0,14706,0,0.00,0
8691098,0,14706,0,0.00,0
8696098,0,14706,0,0.00,0
8701098,0,14706,0,0.00,0
8706098,0,14706,0,0.00,0
8711098,0,14706,0,0.00,0
8716098,0,14706,0,0.00,0
8721098,0,14706,0,0.00,0
8726098,0,14706,0,0.00,0
8731098,0,14706,0,0.00,0
8736098,0,14706,0,0.00,0
8741098,0,14706,0,0.00,0
8746098,0,14706,0,0.00,0
8751098,0,14706,0,0.00,0
8756098,0,14706,0,0.00,0
8761098,0,14706,0,0.00,0
8766098,0,14706,0,0.00,0
8771098,0,14706,0,0.00,0
8776098,0,14706,0,0.00,0
8781098,0,14706,0,0.00,0
8786098,0,14706,0,0.00,0
8791098,0,14706,0,0.00,0
8796098,0,14706,0,0.00,0
8801098,0,14706,0,0.00,0
8806098,0,14706,0,0.00,0
8811098,0,14706,0,0.00,0
8816098,0,14706,0,0.00,0
8821098,0,14706,0,0.00,0
8826098,0,14706,0,0.00,0
8831098,0,14706,0,0.00,0
8836098,0,14706,0,0.00,0
8841098,0,14706,0,0.00,0
8846098,0,14706,0,0.00,0
8851098,0,14706,0,0.00,0
8856098,0,14706,0,0.00,0
8861098,0,14706,0,0.00,0
8866098,0,14706,0,0.00,0
8871098,0,14706,0,0.00,0
8876098,0,14706,0,0.00,0
8881098,0,14706,0,0.00,0
8886098,0,14706,0,0.00,0
8891098,0,14706,0,0.00,0
8896098,0,14706,0,0.00,0
8901098,0,14706,0,0.00,0
8906098,0,14706,0,0.00,0
8911098,0,14706,0,0.00,0
8916098,0,14706,0,0.00,0
8921098,0,14706,0,0.00,0
8926098,0,14706,0,0.00,0
8931098,0,14706,0,0.00,0
8936098,0,14706,0,0.00,0
8941098,0,14706,0,0.00,0
8946098,0,14706,0,0.00,0
8951098,0,14706,0,0.00,0
8956098,0,14706,0,0.00,0
